"id";"name";"round";"sensor_id";"label_id";"farm_id";"labeled_by";"earmark_id";"collar_id";"age";"year_of_birth";"lactation";"age_of_first_fecundity";"interval_between_calvings";"has_horns";"has_nose_ring";"avg_lifetime_production";"avg_daily_lifetime_production";"last_calving";"planned_calving";"bcs";"bcs_measurement_date";"lameness_score";"lameness_score_measurement_date"
51;"Flocke";"HB4";4;4;"Hackl-Buch";"Lara Schmeling";"DE0948192559";4;7;2013;5;25.3;473;"no";"no";7884;14.5;"2020-02-06";"2021-01-24";3.5;"2020-10-08";0;"2020-10-08"
52;"Nymphe";"HB4";6;6;"Hackl-Buch";"Lara Schmeling";"DE0949360020";7;7;2013;5;24.1;335;"no";"no";7948;14.3;"2019-11-27";"";4;"2020-10-08";1;"2020-10-08"
53;"Martha";"HB4";28;8;"Hackl-Buch";"Lara Schmeling";"DE0946881506";385;8;2012;5;25.6;353;"no";"no";10203;19.5;"2019-11-05";"2020-11-16";4;"2020-10-08";0;"2020-10-08"
54;"Miriam";"HB4";14;14;"Hackl-Buch";"Lara Schmeling";"DE0950963109";30;5;2015;3;24.4;373;"no";"no";8221;13.3;"2020-01-31";"";3.5;"2020-10-08";0;"2020-10-08"
55;"Lorelei";"HB4";20;10;"Hackl-Buch";"Lara Schmeling";"DE0950963120";38;5;2015;3;24.7;346;"no";"no";5930;6.8;"2019-12-24";"2021-02-19";3;"2020-10-08";0;"2020-10-08"
56;"Loni";"HB4";24;13;"Hackl-Buch";"Lara Schmeling";"DE0949360045";19;6;2014;4;26.8;379;"no";"no";7672;12.3;"2019-10-27";"2020-11-16";4;"2020-10-08";0;"2020-10-08"
57;"Liliane";"HB4";12;12;"Hackl-Buch";"Lara Schmeling";"DE0950963121";36;5;2015;3;24.4;355;"no";"no";6824;10.4;"2019-11-02";"2020-12-16";3.5;"2020-10-08";0;"2020-10-08"
58;"Flixy";"HB4";1;1;"Hackl-Buch";"Lara Schmeling";"DE0952118802";45;4;2016;2;26.6;371;"no";"yes";6584;6;"2019-11-09";"2020-11-09";4;"2020-10-08";0;"2020-10-08"
59;"Miss";"HB4";11;11;"Hackl-Buch";"Lara Schmeling";"DE0949360016";10;7;2013;5;28.7;341;"no";"no";8669;15.2;"2019-12-28";"2020-11-16";4;"2020-10-08";0;"2020-10-08"
60;"Nobby";"HB4";5;5;"Hackl-Buch";"Lara Schmeling";"DE0952118805";50;7;2013;5;25.3;473;"no";"yes";9538;8.5;"2019-10-23";"2021-03-13";3;"2020-10-08";0;"2020-10-08"
61;"Locke";"HB4";7;15;"Hackl-Buch";"Lara Schmeling";"DE0948192558";5;7;2013;5;29;343;"no";"no";8818;15;"2019-12-24";"2020-12-19";4.5;"";0;""
62;"Hasel";"KW2";9;9;"Kirchweihdach";"Lara Schmeling";"DE0950989539";794;2;2016;1;;482;"no";"no";5845;;"2017-10-14";"2019-02-08";3.5;"2019-03-15";0;"2019-03-15"
